Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance
$18.145,$3461.0,279.0,3.0,,15 years,No,,Yes,East,$255.0
$24.314,$3409.0,270.0,2.0,23.0,7 years,Yes,No,Yes,South,$194.0
$28.316,$4391.0,316.0,2.0,29.0,10 years,Yes,No,No,South,$453.0
$38.954,$5222.0,370.0,4.0,76.0,13 years,Yes,No,No,South,$653.0
$36.496,$4378.0,339.0,3.0,69.0,15 years,Yes,No,Yes,West,$368.0
$19.253,$3683.0,287.0,4.0,57.0,10 years,No,No,No,East,$371.0
$44.522,$2252.0,205.0,6.0,72.0,15 years,No,No,Yes,West,$0.0
$67.937,$5184.0,383.0,4.0,63.0,12 years,No,No,Yes,,$345.0
$34.537,$3271.0,250.0,,57.0,17 years,Yes,No,Yes,West,$47.0
$186.634,$13414.0,949.0,2.0,41.0,14 years,Yes,No,,East,$1809.0
$19.529,$4673.0,341.0,2.0,51.0,14 years,No,No,No,West,$642.0
$27.999,$5107.0,380.0,1.0,55.0,10 years,,No,Yes,South,$651.0
$36.929,$6257.0,445.0,1.0,24.0,14 years,Yes,,Yes,West,$976.0
$76.348,$4697.0,344.0,4.0,60.0,18 years,No,No,No,West,$108.0
$19.636,$4896.0,387.0,3.0,64.0,,,No,No,East,
$16.304,$5466.0,413.0,4.0,,10 years,No,No,Yes,West,
$58.063,,304.0,,50.0,8 years,No,,,East,
$50.699,$3977.0,304.0,2.0,84.0,17 years,Yes,No,No,East,$69.0
$27.825,$5227.0,,6.0,63.0,11 years,No,No,Yes,South,
$48.577,$5145.0,389.0,3.0,71.0,13 years,Yes,No,Yes,West,$503.0
,$5319.0,377.0,3.0,35.0,12 years,Yes,No,No,East,$541.0
,$2525.0,192.0,1.0,44.0,13 years,No,No,Yes,South,$0.0
,$4431.0,320.0,2.0,49.0,15 years,No,Yes,Yes,South,$797.0
$10.588,$4049.0,296.0,1.0,66.0,13 years,,No,,South,$465.0
$30.733,$2832.0,249.0,4.0,51.0,13 years,No,No,No,South,$0.0
$72.945,$8603.0,621.0,3.0,,8 years,Yes,No,No,South,$1355.0
$48.218,$5199.0,401.0,7.0,39.0,10 years,No,No,Yes,,$633.0
$65.896,$5140.0,370.0,1.0,49.0,17 years,Yes,No,Yes,South,$293.0
$80.616,$5308.0,394.0,1.0,57.0,7 years,Yes,No,Yes,,$204.0
$149.316,$10278.0,707.0,1.0,,16 years,No,No,No,East,$1107.0
$33.657,$6196.0,450.0,6.0,55.0,9 years,Yes,No,No,South,$1092.0
$12.238,$4865.0,381.0,5.0,67.0,11 years,Yes,No,No,South,$836.0
$14.891,$3606.0,283.0,2.0,34.0,11 years,No,No,Yes,South,$333.0
$106.025,$6645.0,483.0,3.0,82.0,15 years,Yes,Yes,Yes,West,$903.0
$35.177,$2117.0,186.0,3.0,62.0,16 years,Yes,No,No,South,$0.0
$26.162,$5101.0,382.0,3.0,62.0,19 years,Yes,No,No,,$710.0
$51.872,$5294.0,390.0,4.0,81.0,17 years,Yes,No,No,South,$531.0
$18.701,$5524.0,415.0,5.0,64.0,7 years,Yes,No,No,West,$966.0
$11.603,$2278.0,187.0,3.0,71.0,11 years,No,No,Yes,South,$0.0
$140.672,$11200.0,817.0,7.0,46.0,9 years,No,No,Yes,East,$1677.0
$55.412,$5354.0,383.0,2.0,37.0,16 years,Yes,Yes,Yes,South,$1003.0
$31.811,$4284.0,338.0,5.0,75.0,13 years,Yes,No,Yes,South,$429.0
$27.33,$6179.0,459.0,4.0,36.0,12 years,Yes,No,Yes,South,$1099.0
$21.374,,175.0,2.0,74.0,11 years,Yes,No,Yes,South,$0.0
$29.638,$5833.0,433.0,,29.0,15 years,Yes,No,Yes,West,$942.0
$15.56,$4307.0,352.0,,57.0,8 years,No,No,Yes,East,$579.0
"$18,701",$5524.0,356.0,,68.0,15 years,No,No,Yes,South,$331.0
$49.57,$6384.0,448.0,1.0,28.0,9 years,Yes,No,Yes,West,$891.0
$41.4,$2561.0,215.0,2.0,36.0,14 years,No,No,Yes,South,$0.0
$23.45,$2450.0,180.0,2.0,78.0,13 years,No,No,No,South,$0.0
$104.483,$7140.0,507.0,2.0,41.0,14 years,No,No,Yes,East,$583.0
"$18,701",$5524.0,,2.0,68.0,15 years,No,No,Yes,South,$331.0
$27.794,$3807.0,301.0,4.0,35.0,,Yes,No,Yes,East,$320.0
$60.449,$3098.0,272.0,4.0,69.0,8 years,No,No,Yes,South,$0.0
,$11966.0,832.0,2.0,58.0,8 years,Yes,No,Yes,East,$1405.0
$15.079,$5673.0,411.0,4.0,28.0,15 years,Yes,,Yes,West,$1075.0
$16.529,,126.0,3.0,62.0,9 years,No,No,,West,$0.0
$22.574,$1551.0,,3.0,43.0,13 years,Yes,Yes,Yes,South,$98.0
$24.824,$5495.0,409.0,1.0,33.0,9 years,No,Yes,No,South,$1352.0
$15.184,$2420.0,192.0,2.0,69.0,,Yes,No,,South,
,$1787.0,147.0,4.0,66.0,15 years,Yes,No,No,South,$0.0
$10.852,$3907.0,296.0,2.0,30.0,9 years,No,No,No,South,$485.0
,$6982.0,518.0,2.0,78.0,11 years,Yes,No,Yes,South,$250.0
$10.742,$1757.0,156.0,3.0,57.0,15 years,Yes,No,No,South,$0.0
$148.924,$9504.0,681.0,3.0,36.0,11 years,Yes,,No,West,$964.0
"$18,701",,356.0,2.0,68.0,15 years,No,,Yes,South,$331.0
$57.1,$4742.0,372.0,7.0,79.0,18 years,Yes,No,Yes,West,$379.0
$93.039,$7398.0,517.0,1.0,67.0,12 years,No,No,Yes,East,$749.0
$83.869,$7667.0,554.0,2.0,,11 years,No,No,No,East,$930.0
$76.273,$4779.0,367.0,4.0,65.0,14 years,Yes,No,Yes,South,$133.0
$12.456,$5395.0,392.0,3.0,65.0,14 years,No,No,Yes,South,$955.0
